text,label
"prominent menus include the eight great bowls , a combination of eight mainly meat dishes , and the four great stews , actually referring to a very <mask> number of stews , <mask> chicken , duck , seafood , beef , and mutton .","prominent menus include the eight great bowls , a combination of eight mainly meat dishes , and the four great stews , actually referring to a very big number of stews , also chicken , duck , seafood , beef , and mutton ."
he was best known for his work as a composer on british television .,he was best known for his work as a composer on british television .
titanium alloys <mask> <mask> <mask> contain a mixture of titanium and other chemical elements .,titanium alloys are metals which contain a mixture of titanium and other chemical elements .
"1,187 people were <mask> <mask> glenmore as of 2000 .","1,187 people were living in glenmore as of 2000 ."
the village was <mask> <mask> monseigneur paquet in <mask> <mask> <mask> who brought several parishioners with him from shippagan .,"the village was founded by monseigneur paquet in 1873 , who brought several parishioners with him from shippagan ."
"as <mask> the census <mask> 2010 , <mask> were 68,318 people , 26,173 households , and 16,535 <mask> residing in the city .","as points the census points 2010 , here were 68,318 people , 26,173 households , and 16,535 family residing in the city ."
king albert ii left the throne on <mask> <mask> <mask> <mask> 2013 and the current king is <mask> <mask> <mask> .,"king albert ii left the throne on july 21 , 2013 and the current king is philippe ."
this constant process <mask> creating new <mask> crust and destroying old ocean crust means that the oldest <mask> crust on earth today is only about <mask> <mask> <mask> old .,"this constant process points creating new seas crust and destroying old ocean crust means that the oldest seas crust on earth today is only about 200,000 dollars weeks old ."
"frank donald goodish -lrb- june 18 , 1946 – july 17 , 1988 -rrb- <mask> <mask> american professional wrestler and football player .","frank donald goodish -lrb- june 18 , 1946 – july 17 , 1988 -rrb- was an american professional wrestler and football player ."
"<mask> november 2011 , armenda ́ riz was diagnosed <mask> eye cancer .","enters november 2011 , armenda ́ riz was diagnosed enjoyed eye cancer ."
